"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AIToolCurrently Using","Employment","Employed"
"96","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Cosmos DB;Microsoft SQL Server;PostgreSQL","Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;React","Healthcare","ChatGPT","Project planning;Writing code;Debugging and getting help","Employed, full-time","Employed"
"97","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python;TypeScript","BigQuery;Cloud Firestore;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Firebase;Google Cloud","Deno;NestJS;Next.js;Node.js;React;Vue.js","Retail and Consumer Services","Bing AI;ChatGPT;WolframAlpha","Writing code","Employed, full-time","Employed"
"98","East London Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript","H2;MySQL;Oracle;PostgreSQL","Google Cloud","Angular;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Debugging and getting help;Testing code","Employed, full-time","Employed"
"99","Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;C++;Dart;HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;Python;SQL;TypeScript","Firebase Realtime Database;Microsoft SQL Server;PostgreSQL;SQLite","Firebase;Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;Express;jQuery;Node.js;React;Remix;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Neeva AI;You.com","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time","Employed"
"100","Mbombela Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C;C#;C++;Delphi;JavaScript;PHP;Python;SQL","MariaDB;Microsoft SQL Server;MySQL;SQLite","Hetzner;VMware","Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"101","Durban Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);JavaScript;Python;Scala;SQL","MySQL;Neo4J;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Heroku","FastAPI","Information Services, IT, Software Development, or other Technology","Bing AI","Writing code;Documenting code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"102","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","Firebase Realtime Database;MariaDB;MySQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Managed Hosting","CodeIgniter;Express;FastAPI;jQuery;Laravel;Node.js;React","Healthcare","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Collaborating with teammates","Employed, full-time","Employed"
"103","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;Python;TypeScript","PostgreSQL","Amazon Web Services (AWS);Digital Ocean","Django;FastAPI;Flask;jQuery;Node.js;React","Other","ChatGPT;WolframAlpha","Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"104","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;SQL;TypeScript","Dynamodb;Elasticsearch;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Firebase;Google Cloud;Microsoft Azure","Express;Node.js;React","Oil & Gas","ChatGPT;Phind","Writing code","Employed, full-time","Employed"
"105","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","System administrator","Some college/university study without earning a degree","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript;VBA","MariaDB;Microsoft Access;Microsoft SQL Server;MySQL","Cloudflare","jQuery;Node.js","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"106","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C++;Go;Java;JavaScript;Python;SQL","Cassandra;Dynamodb;PostgreSQL;Redis;Snowflake","Amazon Web Services (AWS);Cloudflare","FastAPI;Flask;Spring Boot","Retail and Consumer Services","Bing AI;ChatGPT;Google Bard AI","Project planning;Writing code;Debugging and getting help","Employed, full-time","Employed"
"107","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Dynamodb;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Heroku","Angular;Express;Node.js;Nuxt.js;React;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT;Phind","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"108","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;HTML/CSS;JavaScript;Python;SQL;TypeScript","MongoDB;PostgreSQL","Amazon Web Services (AWS);VMware","Express;NestJS;Next.js;Node.js;React;Vue.js","Healthcare","ChatGPT","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"109","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Java;JavaScript;R;SQL","Microsoft SQL Server;MySQL;Oracle;PostgreSQL","Microsoft Azure","ASP.NET CORE","Information Services, IT, Software Development, or other Technology","WolframAlpha","Learning about a codebase;Writing code;Documenting code","Employed, full-time","Employed"
"110","Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net)","Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Vercel","Django;Next.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT;Phind","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"111","Nelson Mandela Bay Campus","IT","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","Microsoft SQL Server;MySQL;SQLite","Hetzner;VMware","ASP.NET;ASP.NET CORE;jQuery;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code","Employed, full-time","Employed"
"112","Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python","Dynamodb;MySQL","Amazon Web Services (AWS);Firebase;Google Cloud;OpenShift","Next.js;Node.js;Nuxt.js;React;Spring Boot;Vue.js","Financial Services","ChatGPT","Writing code","Employed, full-time;Student, part-time","Employed"
"113","Pretoria Campus","IT","I am a developer by profession","Engineering manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL","Dynamodb;H2;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare","React","Advertising Services","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"114","Pretoria Campus","Data Science","I am a developer by profession","Developer, front-end","Something else","HTML/CSS;JavaScript;TypeScript","MongoDB","Vercel","Express;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT;You.com","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"115","East London Campus","Computer Science","I am a developer by profession","Research & Development role","Some college/university study without earning a degree","C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python;Rust;SQL;TypeScript","Dynamodb;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Cloudflare;Digital Ocean;Microsoft Azure;OpenShift;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Drupal;Elm;Express;jQuery;Laravel;Node.js;Nuxt.js;React;Spring Boot;Symfony;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time;Student, part-time","Employed"
"116","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Rust;SQL;TypeScript","BigQuery;Cloud Firestore;InfluxDB;MongoDB;PostgreSQL;Redis","Cloudflare;Firebase;Google Cloud;Vercel","Angular;Express;NestJS;Next.js;Qwik;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"117","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Assembly;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net)","Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Firebase;Fly.io;Heroku;Linode, now Akamai;Netlify;Vercel","Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;CodeIgniter;Deno;Drupal;Express;Fastify;jQuery;Next.js;Node.js;Nuxt.js;React;Remix;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;WolframAlpha","Writing code;Documenting code","Independent contractor, freelancer, or self-employed","Unemployed"
"118","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;GDScript;Go;JavaScript;Kotlin;PHP;Python;TypeScript","Dynamodb;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS);Google Cloud","Deno;NestJS;Node.js;Nuxt.js;React;Symfony;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","Learning about a codebase;Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"119","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Julia;MATLAB;Python;TypeScript","Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL","Cloudflare;Digital Ocean;Google Cloud","ASP.NET;ASP.NET CORE;Django;FastAPI;Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","Writing code;Documenting code;Debugging and getting help","Independent contractor, freelancer, or self-employed","Unemployed"
"120","East London Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Ruby;SQL;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS);Heroku;Vercel","Next.js;React;Ruby on Rails","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"121","Durban Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;HTML/CSS;JavaScript;PowerShell;Python","PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","Flask;Svelte","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"122","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;PHP;SQL;TypeScript","Microsoft SQL Server;MySQL;Oracle;SQLite","Microsoft Azure","Angular;jQuery;Laravel","Financial Services","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"123","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;Python;TypeScript","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;Next.js;React","Financial Services","Bing AI;ChatGPT","Writing code;Testing code","Employed, full-time","Employed"
"124","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;Nim;Python","Elasticsearch;MariaDB;MongoDB;Oracle;PostgreSQL;Redis;SQLite","Digital Ocean;Hetzner;Managed Hosting;Microsoft Azure;OVH;Scaleway;Vultr","Django;FastAPI;Flask;Vue.js","Financial Services","Bing AI;ChatGPT;WolframAlpha;You.com","Committing and reviewing code;Deployment and monitoring","Employed, full-time","Employed"
"125","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python","Elasticsearch;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud","FastAPI;Flask","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"126","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript;Visual Basic (.Net)","Cassandra;Couch DB;Dynamodb;H2;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis","Amazon Web Services (AWS)","Angular;Express;jQuery;NestJS;Node.js;React;Spring Boot","Higher Education","ChatGPT","Learning about a codebase;Testing code","Employed, full-time","Employed"
"127","Mbombela Campus","Computer Science","I am a developer by profession","Developer Experience","Some college/university study without earning a degree","HTML/CSS;Python;TypeScript","Dynamodb","Amazon Web Services (AWS);Cloudflare","Next.js;Node.js;React","Retail and Consumer Services","ChatGPT","Writing code;Testing code","Employed, full-time","Employed"
"128","Mbombela Campus","Data Science","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;JavaScript;Rust;SQL","Microsoft SQL Server;MySQL;PostgreSQL","Google Cloud;Microsoft Azure","AngularJS;ASP.NET;ASP.NET CORE;Blazor;React;WordPress","Financial Services","ChatGPT","Writing code;Testing code","Employed, full-time","Employed"
"129","East London Campus","Computer Science","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;C;C#;C++;Perl","Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;VMware","Angular;Flask;Gatsby;Laravel;Node.js;Spring Boot;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Committing and reviewing code","Employed, full-time;Student, full-time","Employed"
"130","East London Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Go","Cockroachdb;MongoDB;Redis;SQLite","Amazon Web Services (AWS);Fly.io;Google Cloud;Vercel","Angular;React","Information Services, IT, Software Development, or other Technology","ChatGPT;Google Bard AI","Writing code;Documenting code","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Employed"
"131","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Other (please specify):","Some college/university study without earning a degree","C#","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code","Employed, full-time","Employed"
"132","Pretoria Campus","Computer Science","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;Go;SQL","Cassandra;Elasticsearch;MariaDB;PostgreSQL;Redis","Amazon Web Services (AWS);Microsoft Azure","Django;Express;Node.js;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"133","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;SQL","Couch DB;Elasticsearch;PostgreSQL;Redis","Microsoft Azure","Spring Boot","Retail and Consumer Services","ChatGPT","Learning about a codebase;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring","Employed, full-time","Employed"
"134","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Go;Python","BigQuery;Cloud Firestore;Elasticsearch;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS);Google Cloud","FastAPI","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code;Testing code","Employed, full-time","Employed"
"135","Durban Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP","MySQL;Redis","Cloudflare;Digital Ocean","Laravel;Symfony","Insurance","Bing AI;ChatGPT","Writing code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"136","East London Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor;React","Financial Services","Bing AI;ChatGPT","Writing code;Documenting code","Employed, full-time","Employed"
"137","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;Java;JavaScript;Kotlin;Python","Elasticsearch;PostgreSQL","Amazon Web Services (AWS);Digital Ocean;Google Cloud","Django;Node.js;React;Spring Boot","Other","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"138","East London Campus","Data Science","I am a developer by profession","Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Java;JavaScript;TypeScript","Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS);Cloudflare","Angular;AngularJS;jQuery;Node.js;Spring Boot","Other","Bing AI","Learning about a codebase;Debugging and getting help;Other (please describe)","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"139","Pretoria Campus","Computer Science","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;Go;Julia;PowerShell;Python;Scala;VBA","BigQuery;Microsoft SQL Server;Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","Django;Flask","Oil & Gas","ChatGPT","Writing code;Documenting code","Employed, full-time","Employed"
"140","Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;PHP;TypeScript;Visual Basic (.Net)","Cloud Firestore;Firebase Realtime Database;MariaDB;MySQL;SQLite","Digital Ocean;Firebase;Google Cloud;Heroku;Hetzner;Managed Hosting;OpenShift","Express;jQuery;Next.js;Node.js;React;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"141","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;TypeScript","BigQuery","Google Cloud","Angular","Advertising Services","ChatGPT;Google Bard AI;WolframAlpha","Writing code;Documenting code","Employed, full-time","Employed"
"142","Durban Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;C++;HTML/CSS;PowerShell","Microsoft SQL Server;SQLite","Microsoft Azure","ASP.NET;ASP.NET CORE;Blazor","Manufacturing, Transportation, or Supply Chain","ChatGPT","Writing code","Employed, full-time","Employed"
"143","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;Swift;TypeScript","Dynamodb;Elasticsearch;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Google Cloud;Heroku;Microsoft Azure;Netlify;Render","Express;FastAPI;Flask;NestJS;Next.js;Node.js;React;Vue.js","Higher Education","ChatGPT;WolframAlpha","Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"144","East London Campus","Data Science","I am a developer by profession","Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Cosmos DB;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","ASP.NET CORE;Blazor;Node.js;React;Svelte","Information Services, IT, Software Development, or other Technology","ChatGPT","Other (please describe)","Employed, full-time","Employed"
"145","Mbombela Campus","Computer Science","I am a developer by profession","Research & Development role","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;Visual Basic (.Net)","MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Fly.io;Heroku;IBM Cloud Or Watson;Microsoft Azure;Netlify;Oracle Cloud Infrastructure (OCI);OVH;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;Django;Express;jQuery;Laravel;Next.js;Node.js;Nuxt.js;React;Spring Boot;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates","Employed, full-time","Employed"
"146","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Primary/elementary school","HTML/CSS;JavaScript;PHP;SQL;TypeScript","Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku;Managed Hosting","jQuery;Laravel;Nuxt.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase","Independent contractor, freelancer, or self-employed","Unemployed"
"147","Mbombela Campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Delphi;Java;Objective-C;Ruby;SQL","Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS)","jQuery","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"148","East London Campus","IT","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","HTML/CSS;JavaScript;TypeScript","Elasticsearch","Digital Ocean","Node.js;React","Advertising Services","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"149","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript","MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Linode, now Akamai;Vercel;Vultr","Express;Laravel;Lit;Next.js;Node.js;React;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"150","Durban Campus","IT","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;TypeScript","MariaDB;MongoDB;MySQL;SQLite","Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Hetzner;Vultr","Django;Express;jQuery;Laravel;Node.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Project planning;Writing code;Documenting code;Debugging and getting help;Collaborating with teammates","Employed, full-time","Employed"
"151","Nelson Mandela Bay Campus","IT","I am a developer by profession","DevOps specialist","Some college/university study without earning a degree","Dart;Python;SQL","Microsoft SQL Server","Microsoft Azure","Flask","Financial Services","ChatGPT;Google Bard AI","Writing code","Employed, full-time","Employed"
"152","East London Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;Groovy;Java;JavaScript;Perl;Python;SQL;TypeScript","Elasticsearch;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Microsoft Azure","React;Spring Boot;Vue.js","Wholesale","ChatGPT","Writing code;Debugging and getting help;Testing code;Collaborating with teammates ;Other (please describe)","Employed, full-time","Employed"
"153","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;Go;Java;JavaScript;PHP;SQL;TypeScript","MariaDB;PostgreSQL;Redis;Solr","OpenShift","Laravel;Node.js;React;Spring Boot;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Project planning;Writing code;Documenting code;Debugging and getting help","Independent contractor, freelancer, or self-employed","Unemployed"
"154","Mbombela Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL;TypeScript","MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Microsoft Azure;Netlify;Vercel","Express;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"155","Mbombela Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;TypeScript","Microsoft SQL Server","Microsoft Azure","Angular;ASP.NET CORE;React","Information Services, IT, Software Development, or other Technology","Bing AI","Debugging and getting help","Employed, full-time","Employed"
"156","Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;Dart;Python;Rust","PostgreSQL;SQLite","Amazon Web Services (AWS);OVH","Next.js;Node.js;React","Retail and Consumer Services","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"157","Pretoria Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Something else","C#;HTML/CSS;Java;JavaScript;SQL","MariaDB;Microsoft Access;Microsoft SQL Server;PostgreSQL;SQLite","Managed Hosting;VMware","ASP.NET;ASP.NET CORE;Blazor;jQuery;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Testing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
